 
4ec6876d-27b5-4421-a76a-87718bc16693,dhanush,2025-06-10,male,Anxiety,Yuki Hoshino,Sage Green,Earth,2025-05-24 19:53:15
456e548d-2629-4f24-94a8-8016cc408409,this,2025-05-15,male,Anxiety,Hikari Nozomi,Ash Lavender,Earth,2025-05-25 12:07:10
28849a3b-ce2a-4093-8138-10902fd0c76b,vishu ,2025-05-20,male,Anxiety,Riku Amahara,Steel Blue,Earth,2025-05-25 12:20:03
8d1b54e6-00da-4fbd-858a-4b678bcdcf69,vishu,2025-05-12,male,Anxiety,Shiro Yukari,Pale Lilac,Earth,2025-05-25 12:30:16
6f6935c8-f41a-4c8d-b6ad-de8e434938f7,shobha,2025-05-14,female,Anxiety,Nao Ayaka,Dusky Rose,Earth,2025-05-25 12:40:44
b177e71e-9306-4297-80ad-d7350e4cc7f6,kiran,2025-05-23,male,Anxiety,Riku Amahara,Steel Blue,Earth,2025-05-25 12:47:43
f3506dc7-77af-45e4-aa20-83ad1956ef31,utfyj,2025-05-20,nonbinary,Anxiety,Riku Amahara,Steel Blue,Earth,2025-05-25 12:48:08
33ef3635-8bfe-4430-aca1-4278a2b6d5f6,hbghj,2025-05-06,female,peaceful,Kou Shiranui,Lavender Fog,Earth,2025-05-25 12:54:57
60c31f49-651c-4c87-ae74-641e283b8b4c,hbghj,2025-05-06,female,excited,Kou Shiranui,Lavender Fog,Earth,2025-05-25 12:55:18
e5a1256d-21cd-4289-b280-ccc7ead21a24,hbghj,2025-05-06,female,Anxiety,Hikari Nozomi,Ash Lavender,Earth,2025-05-25 12:55:24
796ad71f-56a1-46dc-8251-6080a1a8f29f,Priyanka,2025-05-22,male,peaceful,Riku Amahara,Steel Blue,Earth,2025-05-25 13:02:43
9e2bd563-2ff5-4b73-bec0-3b2bc3fa40b7,Priyanka,2025-05-22,male,Anxiety,Nao Ayaka,Dusky Rose,Earth,2025-05-25 13:03:00
601d9fd2-6931-4d0e-9537-1b096a611f48,priya,2025-04-28,female,Anxiety,Kou Shiranui,Lavender Fog,Earth,2025-05-25 13:10:50
ef5f187e-603a-45df-b279-2297acd92bd3,priyanka,2025-05-13,female,Anxiety,Shiro Yukari,Pale Lilac,Fire,2025-05-25 13:27:57
0f9a7456-203f-487e-9cb3-e32618e9f621,vishu,2025-04-09,male,excited,Riku Amahara,Steel Blue,Water,2025-05-25 13:30:26
da821cd5-6f60-45f7-9fa3-766bee8e5cfa,vishu,2025-04-09,male,Anxiety,Riku Amahara,Steel Blue,Water,2025-05-25 13:30:31
31d436b1-88a7-4b5a-83d4-95cce8724c8f,dharni,2019-08-28,male,peaceful,Hikari Nozomi,Ash Lavender,Air,2025-05-25 14:47:33
3d007846-1bbb-48de-ba72-818bd7c5fc75,dharni,2019-08-28,male,Anxiety,Hikari Nozomi,Ash Lavender,Air,2025-05-25 14:47:44
f48af22f-6b18-4f2c-8d16-bb84cd5eff81,priyanka,2025-05-22,female,Anxiety,Riku Amahara,Steel Blue,Fire,2025-05-25 14:58:27
386a617d-0de9-4e62-8a9a-ec8d9860fd26,shobha,1985-08-18,female,Anxiety,Hikari Nozomi,Ash Lavender,Air,2025-05-25 16:04:47
18d0d368-4f7f-4eb3-a521-4c12c5265842,this,2025-05-19,nonbinary,Anxiety,Shiro Yukari,Pale Lilac,Air,2025-05-25 16:07:12
145936af-3e39-43c5-be74-2be71c87c29f,this,2025-05-17,nonbinary,peaceful,Kou Shiranui,Lavender Fog,Air,2025-05-25 16:37:09
e132a0dd-188c-4c3a-9a6d-05b926b2d499,this,2025-05-17,nonbinary,peaceful,Kou Shiranui,Lavender Fog,Air,2025-05-25 16:40:45
973ef3dd-9bcf-4e1c-bdaf-cbf6c2629a44,df,2025-05-17,female,peaceful,Hikari Nozomi,Ash Lavender,Fire,2025-05-25 16:41:02
